,time,inidate,number,hDate,experiment,t2m,days,day_month,base_date,forecast_date,bias,adjusted_t2m
32883,13 days,2021-06-24,5,2004,1,15.354426115329163,13,06-24,2004-06-24,2004-07-07,-1.4458919071683844,16.80031802249755
32884,13 days,2021-06-24,5,2005,1,18.374071927315402,13,06-24,2005-06-24,2005-07-07,-1.4458919071683844,19.819963834483787
32885,13 days,2021-06-24,5,2006,1,23.888572651275602,13,06-24,2006-06-24,2006-07-07,-1.4458919071683844,25.334464558443987
32886,13 days,2021-06-24,5,2007,1,26.231571795072274,13,06-24,2007-06-24,2007-07-07,-1.4458919071683844,27.677463702240658
32887,13 days,2021-06-24,5,2008,1,23.410810261589965,13,06-24,2008-06-24,2008-07-07,-1.4458919071683844,24.85670216875835
32888,13 days,2021-06-24,5,2009,1,23.371354543203726,13,06-24,2009-06-24,2009-07-07,-1.4458919071683844,24.81724645037211
32889,13 days,2021-06-24,5,2010,1,25.00833310199106,13,06-24,2010-06-24,2010-07-07,-1.4458919071683844,26.454225009159444
32890,13 days,2021-06-24,5,2011,1,24.16322663284894,13,06-24,2011-06-24,2011-07-07,-1.4458919071683844,25.609118540017324
32891,13 days,2021-06-24,5,2012,1,24.883439736226862,13,06-24,2012-06-24,2012-07-07,-1.4458919071683844,26.329331643395246
32892,13 days,2021-06-24,5,2013,1,22.55218180242501,13,06-24,2013-06-24,2013-07-07,-1.4458919071683844,23.998073709593395
32893,13 days,2021-06-24,5,2014,1,19.955054405288614,13,06-24,2014-06-24,2014-07-07,-1.4458919071683844,21.400946312457
32894,13 days,2021-06-24,5,2015,1,25.5508760907296,13,06-24,2015-06-24,2015-07-07,-1.4458919071683844,26.996767997897983
32895,13 days,2021-06-24,5,2016,1,24.078549050242714,13,06-24,2016-06-24,2016-07-07,-1.4458919071683844,25.524440957411098
32896,13 days,2021-06-24,5,2017,1,21.734077529663104,13,06-24,2017-06-24,2017-07-07,-1.4458919071683844,23.179969436831488
32897,13 days,2021-06-24,5,2018,1,19.510102141482406,13,06-24,2018-06-24,2018-07-07,-1.4458919071683844,20.95599404865079
32898,13 days,2021-06-24,5,2019,1,20.15812699883052,13,06-24,2019-06-24,2019-07-07,-1.4458919071683844,21.604018905998906
32899,13 days,2021-06-24,5,2020,1,17.694593918366195,13,06-24,2020-06-24,2020-07-07,-1.4458919071683844,19.14048582553458
32900,13 days,2021-06-24,6,2001,1,20.588665887750707,13,06-24,2001-06-24,2001-07-07,-1.4458919071683844,22.034557794919092
32901,13 days,2021-06-24,6,2002,1,15.849170580477564,13,06-24,2002-06-24,2002-07-07,-1.4458919071683844,17.29506248764595
32902,13 days,2021-06-24,6,2003,1,24.038703350978835,13,06-24,2003-06-24,2003-07-07,-1.4458919071683844,25.48459525814722
32903,13 days,2021-06-24,6,2004,1,20.3491161542605,13,06-24,2004-06-24,2004-07-07,-1.4458919071683844,21.795008061428884
32904,13 days,2021-06-24,6,2005,1,20.864660926015535,13,06-24,2005-06-24,2005-07-07,-1.4458919071683844,22.31055283318392
32905,13 days,2021-06-24,6,2006,1,24.309455534077365,13,06-24,2006-06-24,2006-07-07,-1.4458919071683844,25.75534744124575
32906,13 days,2021-06-24,6,2007,1,19.90137831275682,13,06-24,2007-06-24,2007-07-07,-1.4458919071683844,21.347270219925203
32907,13 days,2021-06-24,6,2008,1,24.683872991187048,13,06-24,2008-06-24,2008-07-07,-1.4458919071683844,26.129764898355432
32908,13 days,2021-06-24,6,2009,1,23.602581368473587,13,06-24,2009-06-24,2009-07-07,-1.4458919071683844,25.04847327564197
32909,13 days,2021-06-24,6,2010,1,15.565194862109497,13,06-24,2010-06-24,2010-07-07,-1.4458919071683844,17.01108676927788
32910,13 days,2021-06-24,6,2011,1,22.048855768270066,13,06-24,2011-06-24,2011-07-07,-1.4458919071683844,23.49474767543845
32911,13 days,2021-06-24,6,2012,1,22.340493815004514,13,06-24,2012-06-24,2012-07-07,-1.4458919071683844,23.7863857221729
32912,13 days,2021-06-24,6,2013,1,29.774820657152645,13,06-24,2013-06-24,2013-07-07,-1.4458919071683844,31.22071256432103
32913,13 days,2021-06-24,6,2014,1,26.297605904089032,13,06-24,2014-06-24,2014-07-07,-1.4458919071683844,27.743497811257416
32914,13 days,2021-06-24,6,2015,1,26.86450678009355,13,06-24,2015-06-24,2015-07-07,-1.4458919071683844,28.310398687261934
32915,13 days,2021-06-24,6,2016,1,24.584386083722087,13,06-24,2016-06-24,2016-07-07,-1.4458919071683844,26.030277990890472
32916,13 days,2021-06-24,6,2017,1,18.010245634551147,13,06-24,2017-06-24,2017-07-07,-1.4458919071683844,19.45613754171953
32917,13 days,2021-06-24,6,2018,1,23.968614236713908,13,06-24,2018-06-24,2018-07-07,-1.4458919071683844,25.414506143882292
32918,13 days,2021-06-24,6,2019,1,21.9732313131806,13,06-24,2019-06-24,2019-07-07,-1.4458919071683844,23.419123220348986
32919,13 days,2021-06-24,6,2020,1,24.849752153372734,13,06-24,2020-06-24,2020-07-07,-1.4458919071683844,26.295644060541118
32920,13 days,2021-06-24,7,2001,1,30.278210361654956,13,06-24,2001-06-24,2001-07-07,-1.4458919071683844,31.72410226882334
32921,13 days,2021-06-24,7,2002,1,21.966012687547458,13,06-24,2002-06-24,2002-07-07,-1.4458919071683844,23.411904594715843
32922,13 days,2021-06-24,7,2003,1,25.72635554747976,13,06-24,2003-06-24,2003-07-07,-1.4458919071683844,27.172247454648144
32923,13 days,2021-06-24,7,2004,1,18.14690408669042,13,06-24,2004-06-24,2004-07-07,-1.4458919071683844,19.592795993858804
32924,13 days,2021-06-24,7,2005,1,17.12694889517678,13,06-24,2005-06-24,2005-07-07,-1.4458919071683844,18.572840802345166
32925,13 days,2021-06-24,7,2006,1,22.26747586476054,13,06-24,2006-06-24,2006-07-07,-1.4458919071683844,23.713367771928926
32926,13 days,2021-06-24,7,2007,1,21.249369103019003,13,06-24,2007-06-24,2007-07-07,-1.4458919071683844,22.695261010187387
32927,13 days,2021-06-24,7,2008,1,23.31393781776391,13,06-24,2008-06-24,2008-07-07,-1.4458919071683844,24.759829724932295
32928,13 days,2021-06-24,7,2009,1,22.12886551853468,13,06-24,2009-06-24,2009-07-07,-1.4458919071683844,23.574757425703066
32929,13 days,2021-06-24,7,2010,1,16.540437552182112,13,06-24,2010-06-24,2010-07-07,-1.4458919071683844,17.986329459350497
32930,13 days,2021-06-24,7,2011,1,27.234708066388286,13,06-24,2011-06-24,2011-07-07,-1.4458919071683844,28.68059997355667
32931,13 days,2021-06-24,7,2012,1,21.514977915868993,13,06-24,2012-06-24,2012-07-07,-1.4458919071683844,22.960869823037378
32932,13 days,2021-06-24,7,2013,1,25.849416401058694,13,06-24,2013-06-24,2013-07-07,-1.4458919071683844,27.295308308227078
32933,13 days,2021-06-24,7,2014,1,19.129172401655715,13,06-24,2014-06-24,2014-07-07,-1.4458919071683844,20.5750643088241
32934,13 days,2021-06-24,7,2015,1,28.21328151150773,13,06-24,2015-06-24,2015-07-07,-1.4458919071683844,29.659173418676115
32935,13 days,2021-06-24,7,2016,1,19.826492035757184,13,06-24,2016-06-24,2016-07-07,-1.4458919071683844,21.27238394292557
32936,13 days,2021-06-24,7,2017,1,23.967157777517805,13,06-24,2017-06-24,2017-07-07,-1.4458919071683844,25.41304968468619
32937,13 days,2021-06-24,7,2018,1,16.355646307128996,13,06-24,2018-06-24,2018-07-07,-1.4458919071683844,17.80153821429738
32938,13 days,2021-06-24,7,2019,1,14.516233847971824,13,06-24,2019-06-24,2019-07-07,-1.4458919071683844,15.962125755140208
32939,13 days,2021-06-24,7,2020,1,22.77527872021498,13,06-24,2020-06-24,2020-07-07,-1.4458919071683844,24.221170627383366
32940,13 days,2021-06-24,8,2001,1,17.86195341612824,13,06-24,2001-06-24,2001-07-07,-1.4458919071683844,19.307845323296625
32941,13 days,2021-06-24,8,2002,1,22.818713835311883,13,06-24,2002-06-24,2002-07-07,-1.4458919071683844,24.264605742480267
32942,13 days,2021-06-24,8,2003,1,20.287017668590583,13,06-24,2003-06-24,2003-07-07,-1.4458919071683844,21.732909575758967
32943,13 days,2021-06-24,8,2004,1,20.499020028351218,13,06-24,2004-06-24,2004-07-07,-1.4458919071683844,21.944911935519603
32944,13 days,2021-06-24,8,2005,1,21.794146523010582,13,06-24,2005-06-24,2005-07-07,-1.4458919071683844,23.240038430178966
32945,13 days,2021-06-24,8,2006,1,22.179459568314062,13,06-24,2006-06-24,2006-07-07,-1.4458919071683844,23.625351475482447
32946,13 days,2021-06-24,8,2007,1,25.65569141039014,13,06-24,2007-06-24,2007-07-07,-1.4458919071683844,27.101583317558525
32947,13 days,2021-06-24,8,2008,1,24.932436058226916,13,06-24,2008-06-24,2008-07-07,-1.4458919071683844,26.3783279653953
32948,13 days,2021-06-24,8,2009,1,16.281358929334317,13,06-24,2009-06-24,2009-07-07,-1.4458919071683844,17.7272508365027
32949,13 days,2021-06-24,8,2010,1,25.981385134174452,13,06-24,2010-06-24,2010-07-07,-1.4458919071683844,27.427277041342837
32950,13 days,2021-06-24,8,2011,1,26.817376795150796,13,06-24,2011-06-24,2011-07-07,-1.4458919071683844,28.26326870231918
32951,13 days,2021-06-24,8,2012,1,24.456551943788714,13,06-24,2012-06-24,2012-07-07,-1.4458919071683844,25.9024438509571
